,atype,batch_size,dropout_rate,hidden_layers,hidden_n0,hidden_n1,iters,learning_rate,lookback,loss,max_epochs,mtype,n_outputs,neurons_n,patience,predictor,weights_0,weights_1,weights_2,weights_3,epochs,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc
10,VRNN,512,0.5,1,40,25,1,0.001,5,False,50,GRU,1,20,30,behavior,2.0,1,13,3,50.0,0.8379349112510681,0.4200621545314789,0.7540591359138489,0.574881911277771,0.4242364168167114,0.8298103213310242
11,VRNN,512,0.6000000000000001,0,10,30,1,0.001,2,False,50,GRU,1,40,30,behavior,4.0,1,13,10,50.0,1.3456144332885742,0.41880500316619873,0.7620116472244263,0.5723994374275208,0.42767423391342163,0.830174446105957
12,VRNN,512,0.7000000000000001,1,45,30,1,0.001,21,False,50,GRU,1,45,30,behavior,2.0,1,4,2,50.0,0.7058786749839783,0.4155377745628357,0.799534261226654,0.5831456184387207,0.4254184365272522,0.8788509368896484
13,VRNN,512,0.7000000000000001,0,35,30,1,0.001,9,False,50,GRU,1,20,30,behavior,2.0,1,11,4,50.0,0.8697580099105835,0.420016884803772,0.7709143757820129,0.5739613771438599,0.4267953336238861,0.846481442451477
14,VRNN,512,0.6000000000000001,0,45,20,1,0.001,21,False,50,GRU,1,20,30,behavior,2.5,1,17,4,50.0,0.8802860975265503,0.44216790795326233,0.8063176870346069,0.5833956003189087,0.4267268180847168,0.8782264590263367
15,VRNN,512,0.30000000000000004,1,40,15,1,0.001,2,False,50,GRU,1,50,30,behavior,2.0,1,4,2,50.0,0.7283549904823303,0.4189848005771637,0.7618192434310913,0.5724012851715088,0.4277085065841675,0.830174446105957
16,VRNN,512,0.4,1,35,25,1,0.001,4,False,50,GRU,1,5,30,behavior,5.0,1,16,4,50.0,1.1511437892913818,0.40711140632629395,0.764267086982727,0.5821415185928345,0.41869428753852844,0.8347450494766235
17,VRNN,512,0.6000000000000001,0,40,20,1,0.001,9,False,50,GRU,1,15,30,behavior,2.0,1,19,2,50.0,0.8359909057617188,0.4203215539455414,0.7688040733337402,0.5753084421157837,0.4246349334716797,0.8467606902122498
18,VRNN,512,0.2,0,30,10,1,0.001,21,False,50,GRU,1,15,30,behavior,1.0,1,6,7,50.0,0.8180674910545349,0.443687379360199,0.8042927980422974,0.5819107294082642,0.4256519377231598,0.8786427974700928
19,VRNN,512,0.2,0,35,40,1,0.001,6,False,50,GRU,1,15,30,behavior,5.0,1,10,9,50.0,1.3042242527008057,0.4243512749671936,0.7644058465957642,0.5758326053619385,0.4249586760997772,0.8345801830291748
20,VRNN,512,0.4,2,15,50,1,0.001,16,False,50,GRU,1,35,30,behavior,3.5,1,24,8,50.0,1.2086418867111206,0.4244796931743622,0.7858166098594666,0.5772429704666138,0.42442405223846436,0.8641087412834167
21,VRNN,512,0.9,0,20,50,1,0.001,14,False,50,GRU,1,30,30,behavior,4.0,1,18,10,50.0,1.369691252708435,0.3911382853984833,0.7857386469841003,0.5812824368476868,0.4163293242454529,0.8651913404464722
22,VRNN,512,0.8,0,5,40,1,0.001,19,False,50,GRU,1,5,30,behavior,3.5,1,15,8,50.0,1.329957365989685,0.3262074291706085,0.782963216304779,0.6462512016296387,0.32390096783638,0.8766264319419861
23,VRNN,512,0.4,0,20,35,1,0.001,1,False,50,GRU,1,35,30,behavior,4.0,1,11,8,50.0,1.239176630973816,0.4180160462856293,0.7600910663604736,0.5766039490699768,0.42337045073509216,0.8276145458221436
24,VRNN,512,0.1,0,5,45,1,0.001,18,False,50,GRU,1,50,30,behavior,1.0,1,25,7,50.0,0.9725900888442993,0.44267192482948303,0.7824283838272095,0.5812768340110779,0.40181323885917664,0.8623430728912354
25,VRNN,512,0.9,0,20,35,1,0.001,11,False,50,GRU,1,35,30,behavior,3.5,1,21,10,50.0,1.3693230152130127,0.3970760405063629,0.7825448513031006,0.5786495804786682,0.41857731342315674,0.8618658781051636
26,VRNN,512,0.8,2,10,30,1,0.001,3,False,50,GRU,1,25,30,behavior,4.5,1,14,7,50.0,1.4303486347198486,0.27865174412727356,0.6707545518875122,0.6273912787437439,0.33651915192604065,0.8315789699554443
27,VRNN,512,0.6000000000000001,0,25,35,1,0.001,6,False,50,GRU,1,40,30,behavior,1.5,1,10,9,50.0,1.0569219589233398,0.4266032576560974,0.7651491761207581,0.5726518630981445,0.42821696400642395,0.8349990844726562
28,VRNN,512,0.7000000000000001,2,10,45,1,0.001,13,False,50,GRU,1,30,30,behavior,4.5,1,23,8,50.0,1.438245415687561,0.3395073413848877,0.7133793234825134,0.5834941864013672,0.4205499589443207,0.8652068376541138
29,VRNN,512,0.6000000000000001,1,50,35,1,0.001,11,False,50,GRU,1,10,30,behavior,4.0,1,19,10,50.0,1.3479849100112915,0.4152612090110779,0.7809735536575317,0.5730031728744507,0.42851927876472473,0.8558976054191589
